timestamp_ttn,application_id,device_id,dev_eui,dev_addr,f_cnt,f_port,frm_payload_b64,payload_decoded,format,beacon_id,seq,tx_ms,gateway_id,gateway_eui,gateway_used_for_analysis,rssi,channel_rssi,snr,frequency_hz,spreading_factor,bandwidth_hz,coding_rate,consumed_airtime,cluster_id
2026-07-07T19:24:42.881553279Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,5,1,TE9SQVdBTjEsSDAzLDUsMTg5NDI1,"LORAWAN1,H03,5,189425",LORAWAN1,H03,5,189425,rak-gw-21,0016C001F118D222,False,-124,-124,-5.75,867300000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:24:42.881553279Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,5,1,TE9SQVdBTjEsSDAzLDUsMTg5NDI1,"LORAWAN1,H03,5,189425",LORAWAN1,H03,5,189425,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2.8,867300000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:24:06.570122716Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,4,1,TE9SQVdBTjEsSDAzLDQsMTUzMDU4,"LORAWAN1,H03,4,153058",LORAWAN1,H03,4,153058,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-7.5,867700000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:23:30.142113745Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,3,1,TE9SQVdBTjEsSDAzLDMsMTE2Njkx,"LORAWAN1,H03,3,116691",LORAWAN1,H03,3,116691,rak-gw-21,0016C001F118D222,False,-130,-130,-14,868500000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:22:53.797247642Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,2,1,TE9SQVdBTjEsSDAzLDIsODAzMjQ=,"LORAWAN1,H03,2,80324",LORAWAN1,H03,2,80324,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-3.5,867500000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:22:17.489717185Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,1,1,TE9SQVdBTjEsSDAzLDEsNDM5NTc=,"LORAWAN1,H03,1,43957",LORAWAN1,H03,1,43957,loragateway-tfgalvaro,0016C001F1618810,True,-122,-122,-9.5,868100000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:21:29.567478871Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,5,1,TE9SQVdBTjEsSDAzLDUsMTg5NDI1,"LORAWAN1,H03,5,189425",LORAWAN1,H03,5,189425,rak-gw-21,0016C001F118D222,False,-132,-132,-13.5,867500000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:21:29.567478871Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,5,1,TE9SQVdBTjEsSDAzLDUsMTg5NDI1,"LORAWAN1,H03,5,189425",LORAWAN1,H03,5,189425,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-11.8,867500000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:20:53.244874860Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,4,1,TE9SQVdBTjEsSDAzLDQsMTUzMDU4,"LORAWAN1,H03,4,153058",LORAWAN1,H03,4,153058,loragateway-tfgalvaro,0016C001F1618810,True,-120,-120,-2.8,868300000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:20:16.843268671Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,3,1,TE9SQVdBTjEsSDAzLDMsMTE2Njkx,"LORAWAN1,H03,3,116691",LORAWAN1,H03,3,116691,rak-gw-21,0016C001F118D222,False,-120,-120,-1.5,867100000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:20:16.843268671Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,3,1,TE9SQVdBTjEsSDAzLDMsMTE2Njkx,"LORAWAN1,H03,3,116691",LORAWAN1,H03,3,116691,loragateway-tfgalvaro,0016C001F1618810,True,-114,-114,4.8,867100000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:19:40.467311157Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,2,1,TE9SQVdBTjEsSDAzLDIsODAzMjQ=,"LORAWAN1,H03,2,80324",LORAWAN1,H03,2,80324,rak-gw-21,0016C001F118D222,False,-131,-131,-12.75,867700000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:19:40.467311157Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,2,1,TE9SQVdBTjEsSDAzLDIsODAzMjQ=,"LORAWAN1,H03,2,80324",LORAWAN1,H03,2,80324,loragateway-tfgalvaro,0016C001F1618810,True,-118,-118,0.8,867700000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:19:04.102693204Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,1,1,TE9SQVdBTjEsSDAzLDEsNDM5NTc=,"LORAWAN1,H03,1,43957",LORAWAN1,H03,1,43957,rak-gw-21,0016C001F118D222,False,-125,-125,-5.5,867900000,9,125000,4/5,0.246784s,eu1
2026-07-07T19:19:04.102693204Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BA1E8,1,1,TE9SQVdBTjEsSDAzLDEsNDM5NTc=,"LORAWAN1,H03,1,43957",LORAWAN1,H03,1,43957,loragateway-tfgalvaro,0016C001F1618810,True,-122,-122,-11,867900000,9,125000,4/5,0.246784s,eu1
