timestamp_ttn,application_id,device_id,dev_eui,dev_addr,f_cnt,f_port,frm_payload_b64,payload_decoded,format,beacon_id,seq,tx_ms,gateway_id,gateway_eui,gateway_used_for_analysis,rssi,channel_rssi,snr,frequency_hz,spreading_factor,bandwidth_hz,coding_rate,consumed_airtime,cluster_id
2026-07-06T20:13:16.255309655Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,19,1,TE9SQVdBTjEsSDAyLDE5LDY5NDU1OA==,"LORAWAN1,H02,19,694558",LORAWAN1,H02,19,694558,loragateway-tfgalvaro,0016C001F1618810,True,-115,-115,2.8,867500000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:12:40.031491036Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,18,1,TE9SQVdBTjEsSDAyLDE4LDY1ODM2MQ==,"LORAWAN1,H02,18,658361",LORAWAN1,H02,18,658361,loragateway-tfgalvaro,0016C001F1618810,True,-116,-116,3,867700000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:12:03.851966778Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,17,1,TE9SQVdBTjEsSDAyLDE3LDYyMjE2NA==,"LORAWAN1,H02,17,622164",LORAWAN1,H02,17,622164,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-7.5,868500000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:11:27.643735468Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,16,1,TE9SQVdBTjEsSDAyLDE2LDU4NTk2Nw==,"LORAWAN1,H02,16,585967",LORAWAN1,H02,16,585967,loragateway-tfgalvaro,0016C001F1618810,True,-113,-113,5,867500000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:10:51.481427968Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,15,1,TE9SQVdBTjEsSDAyLDE1LDU0OTc3MA==,"LORAWAN1,H02,15,549770",LORAWAN1,H02,15,549770,loragateway-tfgalvaro,0016C001F1618810,True,-120,-120,-4,868500000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:10:15.257746555Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,14,1,TE9SQVdBTjEsSDAyLDE0LDUxMzU3Mw==,"LORAWAN1,H02,14,513573",LORAWAN1,H02,14,513573,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-4.5,868300000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:09:39.095490776Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,13,1,TE9SQVdBTjEsSDAyLDEzLDQ3NzM3Ng==,"LORAWAN1,H02,13,477376",LORAWAN1,H02,13,477376,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-5.5,868100000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:09:02.875604943Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,12,1,TE9SQVdBTjEsSDAyLDEyLDQ0MTE3OQ==,"LORAWAN1,H02,12,441179",LORAWAN1,H02,12,441179,loragateway-tfgalvaro,0016C001F1618810,True,-120,-120,-8,867300000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:08:26.638549534Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,11,1,TE9SQVdBTjEsSDAyLDExLDQwNDk4Mg==,"LORAWAN1,H02,11,404982",LORAWAN1,H02,11,404982,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-4.5,867900000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:07:50.411511346Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,10,1,TE9SQVdBTjEsSDAyLDEwLDM2ODc4NQ==,"LORAWAN1,H02,10,368785",LORAWAN1,H02,10,368785,rak-gw-21,0016C001F118D222,False,-128,-128,-9.75,867100000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:07:50.411511346Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,10,1,TE9SQVdBTjEsSDAyLDEwLDM2ODc4NQ==,"LORAWAN1,H02,10,368785",LORAWAN1,H02,10,368785,loragateway-tfgalvaro,0016C001F1618810,True,-115,-115,3.8,867100000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:07:14.284825354Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,9,1,TE9SQVdBTjEsSDAyLDksMzMyNTg4,"LORAWAN1,H02,9,332588",LORAWAN1,H02,9,332588,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2,867700000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:06:38.078565915Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,8,1,TE9SQVdBTjEsSDAyLDgsMjk2Mzkx,"LORAWAN1,H02,8,296391",LORAWAN1,H02,8,296391,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2.2,867500000,7,125000,4/5,0.077056s,eu1
2026-07-06T20:06:01.898983652Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,7,1,TE9SQVdBTjEsSDAyLDcsMjYwMTk0,"LORAWAN1,H02,7,260194",LORAWAN1,H02,7,260194,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-1.5,867900000,7,125000,4/5,0.077056s,eu1
